"","date_hosp","n","cum_hosp","date_num","cum_prop_hosp"
"1",2020-03-08,1,1,1,1.13092107867252e-06
"2",2020-03-20,3,4,13,4.5236843146901e-06
"3",2020-03-22,1,5,15,5.65460539336262e-06
"4",2020-03-23,1,6,16,6.78552647203515e-06
"5",2020-03-24,1,7,17,7.91644755070767e-06
"6",2020-03-25,2,9,18,1.01782897080527e-05
"7",2020-03-26,1,10,19,1.13092107867252e-05
"8",2020-03-27,2,12,20,1.35710529440703e-05
"9",2020-03-29,1,13,22,1.47019740227428e-05
"10",2020-03-30,1,14,23,1.58328951014153e-05
"11",2020-03-31,2,16,24,1.80947372587604e-05
"12",2020-04-01,3,19,25,2.1487500494778e-05
"13",2020-04-02,1,20,26,2.26184215734505e-05
"14",2020-04-03,1,21,27,2.3749342652123e-05
"15",2020-04-05,1,22,29,2.48802637307955e-05
"16",2020-04-06,1,23,30,2.60111848094681e-05
"17",2020-04-07,3,26,31,2.94039480454856e-05
"18",2020-04-08,6,32,32,3.61894745175208e-05
"19",2020-04-09,4,36,33,4.07131588322109e-05
"20",2020-04-10,6,42,34,4.7498685304246e-05
"21",2020-04-11,5,47,35,5.31532906976087e-05
"22",2020-04-12,2,49,36,5.54151328549537e-05
"23",2020-04-13,6,55,37,6.22006593269889e-05
"24",2020-04-14,6,61,38,6.8986185799024e-05
"25",2020-04-15,5,66,39,7.46407911923866e-05
"26",2020-04-16,12,78,40,8.82118441364569e-05
"27",2020-04-17,5,83,41,9.38664495298196e-05
"28",2020-04-18,10,93,42,0.000105175660316545
"29",2020-04-19,10,103,43,0.00011648487110327
"30",2020-04-20,11,114,44,0.000128925002968668
"31",2020-04-21,5,119,45,0.00013457960836203
"32",2020-04-22,6,125,46,0.000141365134834066
"33",2020-04-23,10,135,47,0.000152674345620791
"34",2020-04-24,10,145,48,0.000163983556407516
"35",2020-04-25,4,149,49,0.000168507240722206
"36",2020-04-26,6,155,50,0.000175292767194241
"37",2020-04-27,7,162,51,0.000183209214744949
"38",2020-04-28,5,167,52,0.000188863820138312
"39",2020-04-29,4,171,53,0.000193387504453002
"40",2020-04-30,4,175,54,0.000197911188767692
"41",2020-05-01,2,177,55,0.000200173030925037
"42",NA,2,179,NA,0.000202434873082382
